Year,Country,gold,ath_num
1992,Algeria,1,2
1992,Argentina,0,2
1992,Australia,14,53
1992,Austria,0,6
1992,Bahamas,0,1
1992,Belgium,0,3
1992,Brazil,13,14
1992,Bulgaria,3,16
1992,Canada,27,37
1992,China,18,69
1992,Colombia,0,1
1992,Croatia,0,14
1992,Cuba,44,70
1992,Czechoslovakia,4,8
1992,Denmark,3,14
1992,Estonia,1,3
1992,Ethiopia,1,3
1992,Finland,1,7
1992,France,9,56
1992,Germany,81,175
1992,Ghana,0,13
1992,Greece,2,2
1992,Hungary,14,35
1992,Independent Olympic Participants (1992),0,3
1992,Indonesia,2,6
1992,Iran,0,3
1992,Ireland,1,2
1992,Israel,0,2
1992,Italy,22,45
1992,Jamaica,0,3
1992,Japan,3,44
1992,Kenya,2,8
1992,"Korea, North",4,9
1992,"Korea, South",28,45
1992,Latvia,0,3
1992,Lithuania,1,13
1992,Malaysia,0,2
1992,Mexico,0,1
1992,Mongolia,0,2
1992,Morocco,1,3
1992,Namibia,0,1
1992,Netherlands,5,32
1992,New Zealand,1,14
1992,Nigeria,0,11
1992,Norway,2,22
1992,Pakistan,0,16
1992,Peru,0,1
1992,Philippines,0,1
1992,Poland,5,41
1992,Puerto Rico*,0,1
1992,Qatar,0,1
1992,Romania,8,42
1992,Slovenia,0,6
1992,South Africa,0,3
1992,Spain,44,65
1992,Suriname,0,1
1992,Sweden,1,32
1992,Switzerland,1,1
1992,Taiwan,0,20
1992,Thailand,0,1
1992,Turkey,2,6
1992,Unified team,92,189
1992,United Kingdom,8,47
1992,United States,89,185
1996,Algeria,2,3
1996,Argentina,0,20
1996,Armenia,1,2
1996,Australia,32,123
1996,Austria,0,2
1996,Azerbaijan,0,1
1996,Bahamas,0,5
1996,Belarus,1,20
1996,Belgium,2,6
1996,Brazil,5,63
1996,Bulgaria,3,21
1996,Burundi,1,1
1996,Canada,8,46
1996,China,19,98
1996,Costa Rica,1,1
1996,Croatia,16,29
1996,Cuba,39,57
1996,Czech Republic,4,11
1996,Denmark,22,24
1996,Ecuador,1,1
1996,Ethiopia,2,3
1996,Finland,1,4
1996,France,21,45
1996,Georgia,0,2
1996,Germany,42,108
1996,Greece,4,8
1996,Hong Kong*,1,1
1996,Hungary,8,40
1996,India,0,1
1996,Indonesia,2,6
1996,Iran,1,3
1996,Ireland,3,1
1996,Israel,0,1
1996,Italy,19,65
1996,Jamaica,1,14
1996,Japan,3,43
1996,Kazakhstan,3,10
1996,Kenya,1,8
1996,"Korea, North",2,5
1996,"Korea, South",10,63
1996,Latvia,0,1
1996,Lithuania,0,12
1996,Malaysia,0,3
1996,Mexico,0,1
1996,Moldova,0,3
1996,Mongolia,0,1
1996,Morocco,0,2
1996,Mozambique,0,1
1996,Namibia,0,1
1996,Netherlands,38,69
1996,New Zealand,3,7
1996,Nigeria,19,25
1996,Norway,2,24
1996,Philippines,0,1
1996,Poland,7,20
1996,Portugal,1,3
1996,Puerto Rico*,0,1
1996,Romania,13,30
1996,Russia,36,97
1996,Slovakia,1,3
1996,Slovenia,0,2
1996,South Africa,3,4
1996,Spain,24,66
1996,Sweden,3,30
1996,Switzerland,5,11
1996,Syria,1,1
1996,Taiwan,0,1
1996,Thailand,1,2
1996,Tonga,0,1
1996,Trinidad and Tobago,0,1
1996,Tunisia,0,1
1996,Turkey,4,6
1996,Uganda,0,1
1996,Ukraine,10,31
1996,United Kingdom,2,25
1996,United States,160,228
1996,Uzbekistan,0,2
1996,Yugoslavia,1,25
1996,Zambia,0,1
2000,Algeria,1,5
2000,Argentina,0,20
2000,Armenia,0,1
2000,Australia,60,161
2000,Austria,3,4
2000,Azerbaijan,2,3
2000,Bahamas,6,5
2000,Barbados,0,1
2000,Belarus,3,21
2000,Belgium,0,7
2000,Brazil,0,48
2000,Bulgaria,5,11
2000,Cameroon,18,18
2000,Canada,4,30
2000,Chile,0,18
2000,China,39,63
2000,Colombia,1,1
2000,Costa Rica,0,1
2000,Croatia,1,10
2000,Cuba,22,69
2000,Czech Republic,2,9
2000,Denmark,18,25
2000,Estonia,1,3
2000,Ethiopia,4,7
2000,Finland,3,5
2000,France,22,61
2000,Georgia,0,6
2000,Germany,31,107
2000,Greece,4,18
2000,Hungary,25,49
2000,Iceland,0,1
2000,India,0,1
2000,Indonesia,2,8
2000,Iran,3,4
2000,Ireland,0,1
2000,Israel,0,1
2000,Italy,22,60
2000,Jamaica,0,17
2000,Japan,5,40
2000,Kazakhstan,3,7
2000,Kenya,2,7
2000,"Korea, North",0,4
2000,"Korea, South",12,69
2000,Kuwait,0,1
2000,Kyrgyzstan,0,1
2000,Latvia,1,3
2000,Lithuania,2,17
2000,Macedonia,0,1
2000,Mexico,1,6
2000,Moldova,0,2
2000,Morocco,0,5
2000,Mozambique,1,1
2000,Netherlands,27,67
2000,New Zealand,1,4
2000,Nigeria,0,8
2000,Norway,21,43
2000,Poland,7,23
2000,Portugal,0,2
2000,Qatar,0,1
2000,Romania,27,35
2000,Russia,66,169
2000,Saudi Arabia,0,2
2000,Slovakia,2,5
2000,Slovenia,3,3
2000,South Africa,0,5
2000,Spain,3,43
2000,Sri Lanka,0,1
2000,Sweden,4,30
2000,Switzerland,1,13
2000,Taiwan,0,5
2000,Thailand,1,3
2000,Trinidad and Tobago,0,1
2000,Turkey,3,5
2000,Ukraine,3,32
2000,United Kingdom,22,54
2000,United States,130,219
2000,Uruguay,0,1
2000,Uzbekistan,1,4
2000,Vietnam,0,1
2000,Yugoslavia,12,26
2004,Argentina,26,47
2004,Australia,49,134
2004,Austria,3,7
2004,Azerbaijan,1,5
2004,Bahamas,1,2
2004,Belarus,2,17
2004,Belgium,1,3
2004,Brazil,18,40
2004,Bulgaria,2,15
2004,Cameroon,1,1
2004,Canada,3,16
2004,Chile,3,2
2004,China,52,87
2004,Colombia,0,2
2004,Croatia,14,20
2004,Cuba,31,61
2004,Czech Republic,1,12
2004,Denmark,19,29
2004,Dominican Republic,1,1
2004,Egypt,1,5
2004,Eritrea,0,1
2004,Estonia,0,3
2004,Ethiopia,2,6
2004,Finland,0,2
2004,France,21,48
2004,Georgia,2,4
2004,Germany,41,139
2004,Greece,8,31
2004,Hong Kong*,0,2
2004,Hungary,24,38
2004,India,0,1
2004,Indonesia,1,5
2004,Iran,2,6
2004,Israel,1,2
2004,Italy,24,99
2004,Jamaica,6,11
2004,Japan,21,85
2004,Kazakhstan,1,8
2004,Kenya,1,7
2004,"Korea, North",0,5
2004,"Korea, South",14,49
2004,Latvia,0,4
2004,Lithuania,1,3
2004,Mexico,0,4
2004,Mongolia,0,1
2004,Morocco,2,2
2004,Netherlands,4,70
2004,New Zealand,4,6
2004,Nigeria,0,8
2004,Norway,5,6
2004,Paraguay,0,17
2004,Poland,4,10
2004,Portugal,0,3
2004,Romania,23,29
2004,Russia,47,180
2004,Serbia,0,14
2004,Slovakia,3,10
2004,Slovenia,0,5
2004,South Africa,4,8
2004,Spain,4,24
2004,Sweden,5,12
2004,Switzerland,1,7
2004,Syria,0,1
2004,Taiwan,2,9
2004,Thailand,3,8
2004,Trinidad and Tobago,0,1
2004,Turkey,3,10
2004,Ukraine,9,47
2004,United Arab Emirates,1,1
2004,United Kingdom,17,51
2004,United States,116,215
2004,Uzbekistan,2,5
2004,Venezuela,0,2
2004,Zimbabwe,1,1
2008,Afghanistan,0,1
2008,Algeria,0,2
2008,Argentina,20,51
2008,Armenia,0,6
2008,Australia,31,124
2008,Austria,0,3
2008,Azerbaijan,1,7
2008,Bahamas,0,5
2008,Belarus,8,28
2008,Belgium,1,5
2008,Brazil,14,74
2008,Bulgaria,1,5
2008,Cameroon,1,1
2008,Canada,11,33
2008,Chile,0,1
2008,China,74,157
2008,Colombia,0,2
2008,Croatia,0,5
2008,Cuba,2,47
2008,Czech Republic,3,6
2008,Denmark,6,18
2008,Dominican Republic,1,2
2008,Ecuador,0,1
2008,Egypt,0,1
2008,Estonia,1,3
2008,Ethiopia,4,5
2008,Finland,1,5
2008,France,25,70
2008,Georgia,3,6
2008,Germany,42,94
2008,Greece,0,7
2008,Hungary,16,23
2008,Iceland,0,14
2008,India,1,3
2008,Indonesia,2,7
2008,Iran,1,2
2008,Ireland,0,3
2008,Israel,0,1
2008,Italy,8,39
2008,Jamaica,9,13
2008,Japan,23,48
2008,Kazakhstan,2,13
2008,Kenya,6,14
2008,"Korea, North",2,6
2008,"Korea, South",41,72
2008,Kyrgyzstan,0,2
2008,Latvia,1,3
2008,Lithuania,0,5
2008,Malaysia,0,1
2008,Mauritius,0,1
2008,Mexico,2,4
2008,Moldova,0,1
2008,Mongolia,2,4
2008,Morocco,0,2
2008,Netherlands,40,61
2008,New Zealand,4,13
2008,Nigeria,0,24
2008,Norway,16,22
2008,Panama,1,1
2008,Poland,6,20
2008,Portugal,1,2
2008,Romania,5,19
2008,Russia,43,135
2008,Serbia,0,15
2008,Singapore,0,3
2008,Slovakia,4,10
2008,Slovenia,1,5
2008,South Africa,0,1
2008,Spain,7,67
2008,Sudan,0,1
2008,Sweden,0,7
2008,Switzerland,3,10
2008,Taiwan,0,4
2008,Tajikistan,0,2
2008,Thailand,2,4
2008,Togo,0,1
2008,Trinidad and Tobago,0,4
2008,Tunisia,1,1
2008,Turkey,1,7
2008,Ukraine,10,31
2008,United Kingdom,31,70
2008,United States,125,262
2008,Uzbekistan,1,6
2008,Venezuela,0,1
2008,Vietnam,0,1
2008,Zimbabwe,1,1
